epoch,strategy,train,val
1,A,0.066795,0.064789
2,A,0.065517,0.064131
3,A,0.065043,0.06419
4,A,0.064796,0.063204
5,A,0.064517,0.063752
6,A,0.064173,0.062923
7,A,0.064069,0.062284
8,A,0.063651,0.062014
9,A,0.063386,0.061647
10,A,0.063101,0.060843
11,A,0.063065,0.061456
12,A,0.062897,0.060596
13,A,0.063097,0.060748
14,A,0.062713,0.061327
15,A,0.06267,0.061487
16,A,0.062555,0.060187
17,A,0.062875,0.060449
18,A,0.062348,0.059754
19,A,0.062141,0.060763
20,A,0.062593,0.059887
21,A,0.062217,0.060592
22,A,0.062308,0.059385
23,A,0.062285,0.060113
24,A,0.06208,0.059654
25,A,0.061941,0.059402
1,B,0.12021,0.074625
2,B,0.069659,0.062123
3,B,0.064001,0.059095
4,B,0.060766,0.0558
5,B,0.058036,0.052927
6,B,0.055895,0.050825
7,B,0.053906,0.049085
8,B,0.052409,0.047359
9,B,0.051725,0.046319
10,B,0.050537,0.045999
11,B,0.04961,0.045637
12,B,0.049373,0.045061
13,B,0.048716,0.044673
14,B,0.048338,0.044328
15,B,0.047956,0.044262
16,B,0.047673,0.043574
17,B,0.04727,0.04374
18,B,0.047047,0.043742
19,B,0.046889,0.043581
20,B,0.046806,0.043673
21,B,0.046673,0.043162
22,B,0.046561,0.043283
23,B,0.046616,0.043458
24,B,0.046741,0.043125
25,B,0.046432,0.043475
