epoch,train_loss,val_loss,lr,elapsed_s
1,0.132243,0.103039,0.0001,102.6
2,0.089909,0.092021,0.0001,99.8
3,0.083934,0.088176,0.0001,95.7
4,0.081304,0.085762,0.0001,101.7
5,0.079457,0.083609,0.0001,99.3
6,0.077569,0.082119,0.0001,93.6
7,0.076677,0.081203,0.0001,94.4
8,0.075884,0.080544,0.0001,101.6
9,0.075394,0.080072,0.0001,99.5
10,0.074802,0.079601,0.0001,95.8
11,0.074528,0.079585,0.0001,98.1
12,0.074169,0.079295,0.0001,100.7
13,0.073803,0.079244,0.0001,96.7
14,0.073617,0.079033,0.0001,96.0
15,0.073347,0.078873,0.0001,101.8
16,0.073039,0.078769,0.0001,94.8
17,0.073004,0.0786,0.0001,87.2
18,0.072726,0.078825,0.0001,92.3
19,0.072615,0.078271,0.0001,98.6
20,0.072358,0.078405,0.0001,92.3
21,0.072443,0.078253,0.0001,93.0
22,0.072126,0.078319,0.0001,98.6
23,0.072057,0.078049,0.0001,93.2
24,0.071837,0.078031,0.0001,91.4
25,0.071577,0.078012,0.0001,108.5
26,0.071615,0.077867,0.0001,105.7
27,0.071459,0.078071,0.0001,94.1
28,0.071296,0.078043,0.0001,90.8
29,0.071117,0.077795,0.0001,107.1
30,0.071124,0.077863,0.0001,93.4
