epoch,train_loss,val_loss,lr,elapsed_s
1,21938.295118,13452.054341,0.0001,28.8
2,5954.561974,3689.780252,0.0001,24.6
3,2549.310951,1597.170973,0.0001,26.2
4,1272.39717,688.284562,0.0001,25.2
5,608.957369,294.9435,0.0001,42.2
6,265.349793,231.783784,0.0001,51.7
7,100.947196,78.521531,0.0001,50.6
8,61.36284,55.727468,0.0001,48.0
9,54.008619,53.407231,0.0001,48.9
10,52.309031,52.473129,0.0001,53.0
11,51.23543,51.892309,0.0001,55.3
12,50.446075,51.431834,0.0001,51.0
13,49.883053,51.081924,0.0001,45.2
14,49.428404,51.054517,0.0001,47.4
15,49.035077,50.853791,0.0001,58.6
16,48.732132,50.807268,0.0001,48.1
17,48.37489,50.703453,0.0001,73.5
18,48.075304,50.721138,0.0001,48.9
19,47.814307,50.753977,0.0001,47.5
20,47.541695,50.71707,0.0001,48.9
21,47.286012,50.870842,0.0001,47.7
22,47.051047,50.949177,5e-05,54.3
