trace_name,event_id,station,taupy_p,emsc_p,correction,status
event_KO.KOZT_eu.emsc_event_20230208_0000003,quakeml:eu.emsc/event/20230208_0000003,KO.KOZT,4393.0,4480.0,87.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000287,quakeml:eu.emsc/event/20230206_0000287,KO.KMRS,4765.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230206_0000522,quakeml:eu.emsc/event/20230206_0000522,KO.KMRS,4641.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000013,quakeml:eu.emsc/event/20230211_0000013,KO.KOZT,4590.0,4680.0,90.0,updated
event_KO.KOZT_eu.emsc_event_20230216_0000037,quakeml:eu.emsc/event/20230216_0000037,KO.KOZT,4508.0,4590.0,82.0,updated
event_KO.KMRS_eu.emsc_event_20230208_0000262,quakeml:eu.emsc/event/20230208_0000262,KO.KMRS,4190.0,4250.0,60.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000390,quakeml:eu.emsc/event/20230206_0000390,KO.KOZT,4907.0,4970.0,63.0,updated
event_KO.KMRS_eu.emsc_event_20230219_0000141,quakeml:eu.emsc/event/20230219_0000141,KO.KMRS,3884.0,3930.0,46.0,updated
event_KO.KOZT_eu.emsc_event_20230207_0000101,quakeml:eu.emsc/event/20230207_0000101,KO.KOZT,4550.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230207_0000288,quakeml:eu.emsc/event/20230207_0000288,KO.KOZT,4923.0,4850.0,-73.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000345,quakeml:eu.emsc/event/20230206_0000345,KO.KOZT,5908.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000039,quakeml:eu.emsc/event/20230211_0000039,KO.KOZT,5500.0,5490.0,-10.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000291,quakeml:eu.emsc/event/20230206_0000291,KO.KMRS,5541.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000213,quakeml:eu.emsc/event/20230211_0000213,KO.KOZT,5619.0,5610.0,-9.0,updated
