filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KOZT_636317589.npz,KO.KOZT,636317589,1.0,M0.5-1.0,2023-06-16T01:25:20.500000Z,2023-06-16T01:25:50.500000Z,ok
small_KO.KMRS_636317589.npz,KO.KMRS,636317589,1.0,M0.5-1.0,2023-06-16T01:25:20.500000Z,2023-06-16T01:25:50.500000Z,fail: Missing channels: ['HHN']
small_KO.KOZT_626753336.npz,KO.KOZT,626753336,0.8,M0.5-1.0,2023-03-01T17:46:53.800000Z,2023-03-01T17:47:23.800000Z,ok
small_KO.KMRS_626753336.npz,KO.KMRS,626753336,0.8,M0.5-1.0,2023-03-01T17:46:53.800000Z,2023-03-01T17:47:23.800000Z,ok
small_KO.KOZT_642693997.npz,KO.KOZT,642693997,1.0,M0.5-1.0,2023-02-22T03:53:00.000000Z,2023-02-22T03:53:30.000000Z,ok
small_KO.KMRS_642693997.npz,KO.KMRS,642693997,1.0,M0.5-1.0,2023-02-22T03:53:00.000000Z,2023-02-22T03:53:30.000000Z,ok
small_KO.KOZT_636317339.npz,KO.KOZT,636317339,1.0,M0.5-1.0,2023-06-14T09:06:13.200000Z,2023-06-14T09:06:43.200000Z,ok
small_KO.KMRS_636317339.npz,KO.KMRS,636317339,1.0,M0.5-1.0,2023-06-14T09:06:13.200000Z,2023-06-14T09:06:43.200000Z,ok
small_KO.KOZT_642871602.npz,KO.KOZT,642871602,0.9,M0.5-1.0,2023-03-06T01:41:33.000000Z,2023-03-06T01:42:03.000000Z,ok
small_KO.KMRS_642871602.npz,KO.KMRS,642871602,0.9,M0.5-1.0,2023-03-06T01:41:33.000000Z,2023-03-06T01:42:03.000000Z,ok
small_KO.KOZT_636308278.npz,KO.KOZT,636308278,1.0,M0.5-1.0,2023-04-24T23:36:18.900000Z,2023-04-24T23:36:48.900000Z,ok
small_KO.KMRS_636308278.npz,KO.KMRS,636308278,1.0,M0.5-1.0,2023-04-24T23:36:18.900000Z,2023-04-24T23:36:48.900000Z,ok
small_KO.KOZT_626756990.npz,KO.KOZT,626756990,0.9,M0.5-1.0,2023-03-10T16:01:30.000000Z,2023-03-10T16:02:00.000000Z,ok
small_KO.KMRS_626756990.npz,KO.KMRS,626756990,0.9,M0.5-1.0,2023-03-10T16:01:30.000000Z,2023-03-10T16:02:00.000000Z,ok
small_KO.KOZT_642875335.npz,KO.KOZT,642875335,0.8,M0.5-1.0,2023-03-19T08:54:12.000000Z,2023-03-19T08:54:42.000000Z,ok
small_KO.KMRS_642875335.npz,KO.KMRS,642875335,0.8,M0.5-1.0,2023-03-19T08:54:12.000000Z,2023-03-19T08:54:42.000000Z,ok
small_KO.KOZT_643178997.npz,KO.KOZT,643178997,0.9,M0.5-1.0,2023-06-17T23:09:06.000000Z,2023-06-17T23:09:36.000000Z,ok
