lat_center,lon_center,n_events,Mc,b_value,a_value,lambda_M4,lambda_M5,lambda_M6,P50yr_M5,P50yr_M6
36.25,35.75,242,2.8,0.7661,4.4019,21.743483,3.725463,0.63831,1.0,1.0
36.25,36.25,521,2.2,0.5802,4.1934,74.568014,19.604367,5.154103,1.0,1.0
36.75,35.75,55,2.0,0.9014,3.4525,0.703086,0.088235,0.011073,0.9879,0.4252
36.75,36.25,950,1.8,0.7948,4.4387,18.173722,2.914982,0.46755,1.0,1.0
36.75,36.75,366,1.8,0.6117,3.7408,19.681354,4.812521,1.176766,1.0,1.0
36.75,37.25,23,1.8,0.8941,3.0629,0.306441,0.039103,0.00499,0.8585,0.2208
37.25,35.75,138,1.5,0.852,3.4991,1.233725,0.173482,0.024394,0.9998,0.7047
37.25,36.25,316,1.8,0.8717,4.0966,4.070035,0.546838,0.073471,1.0,0.9746
37.25,36.75,3554,1.8,0.7759,4.7988,49.561917,8.303163,1.391038,1.0,1.0
37.25,37.25,2576,1.5,0.7318,4.554,42.33016,7.849073,1.455415,1.0,1.0
37.25,37.75,25,1.5,0.5791,2.4547,1.375381,0.362547,0.095566,1.0,0.9916
37.25,38.25,36,2.2,0.6681,2.7772,1.272495,0.273219,0.058663,1.0,0.9468
37.25,38.75,22,2.2,0.9111,3.4878,0.697294,0.085567,0.0105,0.9861,0.4085
37.25,39.25,35,2.2,0.8023,3.4341,1.678362,0.264591,0.041712,1.0,0.8758
37.75,35.25,77,2.2,0.7027,3.5523,5.512547,1.092976,0.216705,1.0,1.0
37.75,35.75,544,1.8,0.9897,4.4544,3.128677,0.320341,0.032799,1.0,0.806
37.75,36.25,6550,1.8,0.8909,5.3887,66.8784,8.598704,1.105554,1.0,1.0
37.75,36.75,2239,1.8,0.7468,4.7712,60.793905,10.889855,1.950672,1.0,1.0
37.75,37.25,1574,1.8,0.7398,4.4518,31.10032,5.66249,1.03098,1.0,1.0
37.75,37.75,1426,1.8,0.6842,4.3803,43.993235,9.10254,1.883386,1.0,1.0
37.75,38.25,473,1.8,0.736,3.88,8.633719,1.585793,0.29127,1.0,1.0
38.25,35.75,38,1.3,0.8748,2.8918,0.246839,0.032929,0.004393,0.8073,0.1972
38.25,36.25,1136,1.8,0.6578,4.2301,39.712768,8.732256,1.920095,1.0,1.0
38.25,36.75,3061,2.0,0.6789,4.7652,112.068166,23.472085,4.916104,1.0,1.0
38.25,37.25,3535,1.8,0.8356,5.1177,59.582042,8.699077,1.27008,1.0,1.0
38.25,37.75,4944,1.8,0.8167,5.1504,76.514019,11.67002,1.779927,1.0,1.0
38.25,38.25,6444,1.5,0.7714,5.0153,85.087416,14.404549,2.438563,1.0,1.0
38.25,38.75,642,2.4,0.628,4.4077,78.676901,18.529957,4.364169,1.0,1.0
38.25,39.25,97,2.4,0.7249,3.8029,8.005313,1.508323,0.284191,1.0,1.0
38.75,35.25,63,2.6,0.7192,3.7683,7.789024,1.486857,0.283828,1.0,1.0
38.75,37.25,126,2.2,0.6902,3.7395,9.524613,1.94397,0.396763,1.0,1.0
38.75,37.75,59,2.2,0.7594,3.4832,2.789382,0.485385,0.084462,1.0,0.9853
38.75,38.25,37,2.8,0.6086,3.0527,4.153668,1.022978,0.251942,1.0,1.0
38.75,39.25,51,2.4,0.6038,2.8705,2.851872,0.710065,0.176793,1.0,0.9999
