lat_center,lon_center,zone,n_events,n_above_Mc,Mc,b_value,a_value,lambda_M5,lambda_M6,lambda_M7,P50yr_M5,P50yr_M6,P50yr_M7,omori_factor,source
36.25,26.25,CA,59,42,3.15,1.038,3.3618,0.014853,0.001361,0.000125,0.5241,0.0658,0.0062,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,26.75,CA,200,144,3.15,1.2709,4.6306,0.018882,0.001012,5.4e-05,0.611,0.0493,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,27.25,CA,1201,957,3.15,1.0286,4.6899,0.352254,0.03298,0.003088,1.0,0.8078,0.1431,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,27.75,CA,236,164,3.15,0.9178,3.5748,0.096776,0.011694,0.001413,0.9921,0.4427,0.0682,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,28.25,CA,136,104,3.15,0.8564,3.1835,0.079716,0.011095,0.001544,0.9814,0.4258,0.0743,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,28.75,CA,325,215,3.15,0.9423,3.7695,0.114298,0.013054,0.001491,0.9967,0.4794,0.0718,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,29.25,CA,161,95,3.15,1.1966,4.2159,0.017095,0.001087,6.9e-05,0.5746,0.0529,0.0035,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,29.75,CA,101,62,3.15,1.038,3.5309,0.021925,0.002009,0.000184,0.6659,0.0956,0.0092,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,30.25,CA,57,40,3.15,1.038,3.3406,0.014145,0.001296,0.000119,0.507,0.0627,0.0059,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,30.75,CA,91,68,3.15,1.1023,3.7736,0.018286,0.001445,0.000114,0.5992,0.0697,0.0057,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,31.25,CA,133,103,3.15,0.874,3.2348,0.073247,0.00979,0.001309,0.9743,0.3871,0.0633,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
36.25,31.75,CA,65,40,3.15,1.038,3.3406,0.014145,0.001296,0.000119,0.507,0.0627,0.0059,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
