region,network,station,latitude,longitude,elevation_m,channels,channel_type,pilot_selected
Kahramanmaras_pilot,KO,KOZT,37.4795,35.8264,381.0,"HHE,HHN,HHZ",HH_broadband,True
Kahramanmaras_pilot,KO,KMRS,37.5087,36.9,590.0,"HHE,HHN,HHZ",HH_broadband,True
Kahramanmaras_pilot,KO,SARI,38.4072,36.4181,1673.0,"HHE,HHN,HHZ",HH_broadband,False
Kahramanmaras_pilot,KO,KHMN,37.3916,37.1574,640.0,"HNE,HNN,HNZ",HN_strong_motion,False
Kahramanmaras_pilot,KO,CEYT,37.0105,35.7478,100.0,"HHE,HHN,HHZ",HH_broadband,False
Kahramanmaras_pilot,KO,GAZ,37.1721,37.2096,992.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,BALB,39.6507,27.8642,266.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,KCTX,40.2626,28.3353,445.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,DOGC,41.3949,26.9852,81.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,KAVV,41.0638,29.06,138.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,TKR,40.9893,27.5351,140.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,KOUK,40.6572,29.1918,1.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,KRBG,40.3932,27.2977,79.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,DST,39.6041,28.6267,693.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,GELI,40.398,26.4742,126.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,RKY,40.6874,27.1776,687.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,CRLU,41.1428,27.8215,126.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,MDNY,40.3709,28.8846,116.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,KLYT,41.253,29.042,30.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,CTKS,41.2373,28.5072,47.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,TUZL,40.8128,29.2657,12.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,EDC,40.3465,27.8618,257.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,UKOP,41.1288,26.6323,70.0,"EHE,EHN,EHZ,HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,BUYA,40.8694,29.1278,40.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,YKBL,40.9908,28.6678,139.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,BGKT,41.181,28.773,80.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,AVCI,40.9958,28.7225,90.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,BOTS,40.9902,27.981,30.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,CANM,40.0113,27.0529,180.0,"EHE,EHN,EHZ,HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,KUMB,40.8626,27.4592,25.6,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,SINB,40.9998,28.5392,59.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,GONE,40.0466,27.686,143.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,LAFA,40.7598,29.3554,38.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,ASYA,40.8956,27.465,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,MRMT,40.609,27.5832,213.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,IZI,40.3483,29.4612,910.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,TEKI,40.9862,27.5374,126.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,SLVT,41.2288,28.2098,180.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,ESKY,40.5918,28.9071,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,LAP,40.3703,26.7593,230.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,CTYL,41.476,28.2897,77.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,EZN,39.8255,26.3246,48.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,KRTL,40.9089,29.1987,83.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,GAZK,40.7479,27.3275,30.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,BRGA,40.8846,29.065,67.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,HVHR,40.9699,28.8445,22.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,CRLT,41.129,27.736,230.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,MAEG,40.9653,27.9448,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,TZLA,40.8123,29.2968,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,ENZZ,40.607,26.1406,11.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,YENI,39.9364,27.2422,278.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,ARMT,40.5683,28.866,320.0,"HHE,HHN,HHZ,HNE,HNN,HNZ",HH_broadband,False
WesternMarmara_main,KO,ERIK,40.6708,26.5132,38.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,YLVH,40.6953,29.3703,0.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,YAYO,39.6113,27.0726,122.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,BUYK,41.0168,28.5828,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,GEML,40.4646,29.2116,222.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,SUSR,39.9627,28.0835,359.0,"EHE,EHN,EHZ,HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,HYBA,40.8748,29.0861,65.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,YLV,40.5658,29.3708,879.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,EZNE,39.756,26.3655,75.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,BMYO,39.8098,26.6009,121.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,LAPK,40.3151,26.6425,2.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,BIGA,40.2813,27.1505,60.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,ORLT,40.0452,28.8914,650.0,"HNE,HNN,HNZ",HN_strong_motion,False
WesternMarmara_main,KO,ISK,41.0615,29.0592,85.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,ENEZ,40.7362,26.153,100.0,"HHE,HHN,HHZ",HH_broadband,False
WesternMarmara_main,KO,GUZE,40.9998,28.5074,3.0,"HNE,HNN,HNZ",HN_strong_motion,False
