lat,lon,Ss_g,S1_g,soil_class,Vs30_mps,source
36.0,26.0,1.157,0.37,ZD,270,TBDY-2018 IDW
36.0,26.25,1.16,0.371,ZD,270,TBDY-2018 IDW
36.0,26.5,1.161,0.371,ZD,270,TBDY-2018 IDW
36.0,26.75,1.162,0.372,ZD,270,TBDY-2018 IDW
36.0,27.0,1.162,0.372,ZD,270,TBDY-2018 IDW
36.0,27.25,1.161,0.371,ZD,270,TBDY-2018 IDW
36.0,27.5,1.159,0.37,ZD,270,TBDY-2018 IDW
36.0,27.75,1.155,0.369,ZD,270,TBDY-2018 IDW
36.0,28.0,1.151,0.367,ZD,270,TBDY-2018 IDW
36.0,28.25,1.145,0.365,ZD,270,TBDY-2018 IDW
36.0,28.5,1.139,0.362,ZD,270,TBDY-2018 IDW
36.0,28.75,1.131,0.359,ZD,270,TBDY-2018 IDW
36.0,29.0,1.123,0.356,ZD,270,TBDY-2018 IDW
36.0,29.25,1.114,0.353,ZD,270,TBDY-2018 IDW
36.0,29.5,1.104,0.349,ZD,270,TBDY-2018 IDW
36.0,29.75,1.093,0.344,ZD,270,TBDY-2018 IDW
36.0,30.0,1.082,0.34,ZD,270,TBDY-2018 IDW
36.0,30.25,1.069,0.335,ZD,270,TBDY-2018 IDW
36.0,30.5,1.056,0.33,ZD,270,TBDY-2018 IDW
36.0,30.75,1.043,0.325,ZD,270,TBDY-2018 IDW
36.0,31.0,1.029,0.319,ZD,270,TBDY-2018 IDW
36.0,31.25,1.016,0.314,ZD,270,TBDY-2018 IDW
36.0,31.5,1.004,0.309,ZD,270,TBDY-2018 IDW
36.0,31.75,0.993,0.305,ZD,270,TBDY-2018 IDW
36.0,32.0,0.986,0.302,ZD,270,TBDY-2018 IDW
36.0,32.25,0.983,0.3,ZD,270,TBDY-2018 IDW
36.0,32.5,0.983,0.3,ZD,270,TBDY-2018 IDW
36.0,32.75,0.989,0.302,ZD,270,TBDY-2018 IDW
36.0,33.0,0.999,0.305,ZD,270,TBDY-2018 IDW
36.0,33.25,1.013,0.31,ZD,270,TBDY-2018 IDW
36.0,33.5,1.03,0.315,ZD,270,TBDY-2018 IDW
36.0,33.75,1.049,0.321,ZD,270,TBDY-2018 IDW
36.0,34.0,1.07,0.328,ZD,270,TBDY-2018 IDW
36.0,34.25,1.091,0.334,ZD,270,TBDY-2018 IDW
36.0,34.5,1.111,0.341,ZD,270,TBDY-2018 IDW
36.0,34.75,1.132,0.347,ZD,270,TBDY-2018 IDW
36.0,35.0,1.157,0.355,ZD,270,TBDY-2018 IDW
36.0,35.25,1.192,0.367,ZD,270,TBDY-2018 IDW
36.0,35.5,1.243,0.385,ZD,270,TBDY-2018 IDW
36.0,35.75,1.311,0.409,ZD,270,TBDY-2018 IDW
36.0,36.0,1.388,0.436,ZD,270,TBDY-2018 IDW
36.0,36.25,1.463,0.463,ZD,270,TBDY-2018 IDW
36.0,36.5,1.523,0.484,ZC,550,TBDY-2018 IDW
36.0,36.75,1.562,0.498,ZC,550,TBDY-2018 IDW
36.0,37.0,1.576,0.503,ZC,550,TBDY-2018 IDW
36.0,37.25,1.564,0.5,ZC,550,TBDY-2018 IDW
36.0,37.5,1.535,0.489,ZC,550,TBDY-2018 IDW
36.0,37.75,1.508,0.48,ZC,550,TBDY-2018 IDW
36.0,38.0,1.5,0.477,ZC,550,TBDY-2018 IDW
36.0,38.25,1.51,0.481,ZC,550,TBDY-2018 IDW
36.0,38.5,1.525,0.486,ZC,550,TBDY-2018 IDW
36.0,38.75,1.533,0.488,ZC,550,TBDY-2018 IDW
36.0,39.0,1.53,0.488,ZC,550,TBDY-2018 IDW
36.0,39.25,1.517,0.483,ZC,550,TBDY-2018 IDW
36.0,39.5,1.497,0.477,ZD,270,TBDY-2018 IDW
36.0,39.75,1.473,0.469,ZD,270,TBDY-2018 IDW
36.0,40.0,1.448,0.46,ZD,270,TBDY-2018 IDW
36.0,40.25,1.422,0.451,ZD,270,TBDY-2018 IDW
36.0,40.5,1.396,0.442,ZD,270,TBDY-2018 IDW
36.0,40.75,1.368,0.433,ZD,270,TBDY-2018 IDW
36.0,41.0,1.339,0.423,ZD,270,TBDY-2018 IDW
36.0,41.25,1.306,0.411,ZD,270,TBDY-2018 IDW
36.0,41.5,1.271,0.399,ZD,270,TBDY-2018 IDW
36.0,41.75,1.239,0.388,ZD,270,TBDY-2018 IDW
36.0,42.0,1.214,0.38,ZD,270,TBDY-2018 IDW
