npz,station,event_id,magnitude,window_type,status
ev_KO_URFA_.emsc_event_20230308_0000288.npz,KO.URFA,quakeml:eu.emsc/event/20230308_0000288,2.0,event,ok
ev_KO_GAZ_.emsc_event_20230308_0000288.npz,KO.GAZ,quakeml:eu.emsc/event/20230308_0000288,2.0,event,ok
ev_KO_BNN_.emsc_event_20230308_0000288.npz,KO.BNN,quakeml:eu.emsc/event/20230308_0000288,2.0,event,ok
ev_KO_MERS_.emsc_event_20230308_0000288.npz,KO.MERS,quakeml:eu.emsc/event/20230308_0000288,2.0,event,ok
ev_KO_SVRC_.emsc_event_20230308_0000288.npz,KO.SVRC,quakeml:eu.emsc/event/20230308_0000288,2.0,event,ok
ev_KO_GAZ_.emsc_event_20230308_0000283.npz,KO.GAZ,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_KMRS_.emsc_event_20230308_0000283.npz,KO.KMRS,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_CEYT_.emsc_event_20230308_0000283.npz,KO.CEYT,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_TAHT_.emsc_event_20230308_0000283.npz,KO.TAHT,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_SARI_.emsc_event_20230308_0000283.npz,KO.SARI,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_URFA_.emsc_event_20230308_0000283.npz,KO.URFA,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_DARE_.emsc_event_20230308_0000283.npz,KO.DARE,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_BNN_.emsc_event_20230308_0000283.npz,KO.BNN,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_MERS_.emsc_event_20230308_0000283.npz,KO.MERS,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_SVRC_.emsc_event_20230308_0000283.npz,KO.SVRC,quakeml:eu.emsc/event/20230308_0000283,2.4,event,ok
ev_KO_GAZ_.emsc_event_20230308_0000284.npz,KO.GAZ,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_KMRS_.emsc_event_20230308_0000284.npz,KO.KMRS,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_CEYT_.emsc_event_20230308_0000284.npz,KO.CEYT,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_TAHT_.emsc_event_20230308_0000284.npz,KO.TAHT,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_SARI_.emsc_event_20230308_0000284.npz,KO.SARI,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_URFA_.emsc_event_20230308_0000284.npz,KO.URFA,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_DARE_.emsc_event_20230308_0000284.npz,KO.DARE,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_BNN_.emsc_event_20230308_0000284.npz,KO.BNN,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_MERS_.emsc_event_20230308_0000284.npz,KO.MERS,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_SVRC_.emsc_event_20230308_0000284.npz,KO.SVRC,quakeml:eu.emsc/event/20230308_0000284,2.2,event,ok
ev_KO_GAZ_.emsc_event_20230308_0000282.npz,KO.GAZ,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_CEYT_.emsc_event_20230308_0000282.npz,KO.CEYT,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_TAHT_.emsc_event_20230308_0000282.npz,KO.TAHT,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_SARI_.emsc_event_20230308_0000282.npz,KO.SARI,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_URFA_.emsc_event_20230308_0000282.npz,KO.URFA,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_KMRS_.emsc_event_20230308_0000282.npz,KO.KMRS,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_DARE_.emsc_event_20230308_0000282.npz,KO.DARE,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_BNN_.emsc_event_20230308_0000282.npz,KO.BNN,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_MERS_.emsc_event_20230308_0000282.npz,KO.MERS,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_SVRC_.emsc_event_20230308_0000282.npz,KO.SVRC,quakeml:eu.emsc/event/20230308_0000282,2.3,event,ok
ev_KO_KMRS_.emsc_event_20230308_0000278.npz,KO.KMRS,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_GAZ_.emsc_event_20230308_0000278.npz,KO.GAZ,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_CEYT_.emsc_event_20230308_0000278.npz,KO.CEYT,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_TAHT_.emsc_event_20230308_0000278.npz,KO.TAHT,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_SARI_.emsc_event_20230308_0000278.npz,KO.SARI,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_DARE_.emsc_event_20230308_0000278.npz,KO.DARE,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_URFA_.emsc_event_20230308_0000278.npz,KO.URFA,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_BNN_.emsc_event_20230308_0000278.npz,KO.BNN,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_MERS_.emsc_event_20230308_0000278.npz,KO.MERS,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
ev_KO_SVRC_.emsc_event_20230308_0000278.npz,KO.SVRC,quakeml:eu.emsc/event/20230308_0000278,2.3,event,ok
