event_id,origin_time,latitude,longitude,depth_km,magnitude,mag_type,p_pick_time,s_pick_time,catalog_source
quakeml:eu.emsc/event/20230219_0000308,2023-02-19T23:57:01.700000Z,38.254,37.2828,5.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000301,2023-02-19T23:42:23.600000Z,37.11,36.76,5.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000298,2023-02-19T23:17:54.700000Z,38.08,36.65,6.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000289,2023-02-19T22:42:01.200000Z,38.12,37.24,6.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000282,2023-02-19T21:54:59.400000Z,37.8,36.53,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000278,2023-02-19T21:32:33.300000Z,37.38,36.88,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000275,2023-02-19T21:30:31.600000Z,37.35,36.91,5.0,3.9,mw,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000272,2023-02-19T21:03:17.100000Z,38.18,37.92,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000269,2023-02-19T20:28:43.200000Z,38.24,38.37,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000268,2023-02-19T20:19:28.200000Z,38.07,37.19,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000258,2023-02-19T20:02:41.800000Z,37.88,37.77,6.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000256,2023-02-19T19:20:50.500000Z,37.85,36.64,2.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000254,2023-02-19T19:17:20.900000Z,36.71,36.22,10.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000246,2023-02-19T18:45:25.800000Z,37.91,37.8,7.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000247,2023-02-19T18:34:05.000000Z,38.1,36.77,4.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000243,2023-02-19T18:15:43.700000Z,38.13,37.81,5.0,3.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000239,2023-02-19T17:59:37.700000Z,38.05,36.73,5.0,3.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000237,2023-02-19T17:51:48.900000Z,38.05,37.74,5.0,3.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000242,2023-02-19T17:45:16.900000Z,37.24,36.7,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000229,2023-02-19T17:11:21.500000Z,37.83,36.61,4.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000223,2023-02-19T16:51:18.400000Z,38.08,36.87,6.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000220,2023-02-19T16:46:54.200000Z,37.91,36.28,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000214,2023-02-19T16:28:47.400000Z,38.16,37.3,8.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000215,2023-02-19T16:21:44.200000Z,38.19,37.85,6.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000209,2023-02-19T16:03:40.200000Z,38.02,37.48,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000208,2023-02-19T16:01:15.500000Z,37.1932,37.0192,6.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000206,2023-02-19T15:42:25.300000Z,38.32,38.19,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000203,2023-02-19T15:33:08.000000Z,38.07,37.89,3.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000198,2023-02-19T15:09:56.300000Z,37.4,36.95,4.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000199,2023-02-19T14:56:34.600000Z,38.3,37.82,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000196,2023-02-19T14:51:28.900000Z,37.42,37.01,7.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000195,2023-02-19T14:46:02.500000Z,37.89,36.68,6.0,2.8,ml,,,EMSC_FDSN
