event_id,origin_time,latitude,longitude,depth_km,magnitude,mag_type,catalog_source
quakeml:eu.emsc/event/20230308_0000288,2023-03-08T23:18:58.300000Z,38.37,37.45,6.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000283,2023-03-08T23:11:09.900000Z,38.3,38.51,5.0,2.4,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000284,2023-03-08T23:09:59.000000Z,38.08,38.39,5.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000282,2023-03-08T23:08:03.200000Z,37.71,36.53,4.0,2.3,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000278,2023-03-08T22:59:09.000000Z,38.02,37.61,5.0,2.3,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000275,2023-03-08T22:27:06.300000Z,38.14,36.58,10.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000274,2023-03-08T22:20:25.600000Z,36.32,36.28,2.0,2.4,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000273,2023-03-08T22:15:14.200000Z,36.27,36.07,5.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000270,2023-03-08T22:11:03.700000Z,36.02,36.05,9.0,2.7,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000262,2023-03-08T22:01:31.800000Z,36.06,36.07,6.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000267,2023-03-08T21:58:54.700000Z,38.15,38.6,5.0,2.5,m,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000258,2023-03-08T21:44:04.500000Z,37.32,37.1,6.0,3.8,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000257,2023-03-08T21:40:16.100000Z,38.1,38.43,5.0,2.4,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000256,2023-03-08T21:37:10.500000Z,37.22,36.76,9.0,3.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000254,2023-03-08T21:18:59.300000Z,38.28,38.23,6.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000251,2023-03-08T21:05:11.200000Z,38.07,36.6,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000252,2023-03-08T21:03:35.400000Z,37.57,38.9,10.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000250,2023-03-08T20:37:41.400000Z,38.43,37.48,5.0,2.5,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000248,2023-03-08T20:32:08.900000Z,38.43,37.52,3.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000247,2023-03-08T20:23:33.900000Z,37.98,38.19,5.0,2.5,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000244,2023-03-08T19:53:19.400000Z,38.14,38.38,5.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000240,2023-03-08T19:33:51.200000Z,37.75,36.6,5.0,2.5,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000238,2023-03-08T19:20:32.200000Z,36.2,35.93,7.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000237,2023-03-08T19:13:30.100000Z,37.33,37.1,6.0,2.7,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000236,2023-03-08T19:03:55.200000Z,37.86,37.82,9.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000235,2023-03-08T18:58:01.100000Z,37.29,35.42,5.0,2.3,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000232,2023-03-08T18:34:02.900000Z,37.12,36.58,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000219,2023-03-08T18:05:09.500000Z,36.87,36.56,10.0,2.7,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000231,2023-03-08T17:50:22.600000Z,37.48,37.11,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000216,2023-03-08T17:38:10.800000Z,37.81,36.61,7.0,2.4,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000213,2023-03-08T17:27:03.300000Z,38.17,38.53,6.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000215,2023-03-08T16:55:43.100000Z,38.48,37.05,5.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000211,2023-03-08T16:46:06.000000Z,38.23,37.37,5.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000209,2023-03-08T16:39:10.300000Z,38.5,37.03,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000207,2023-03-08T16:31:43.300000Z,38.83,37.33,5.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000198,2023-03-08T16:10:52.700000Z,38.16,37.86,8.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000200,2023-03-08T15:55:53.200000Z,38.05,37.74,4.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000192,2023-03-08T15:33:54.800000Z,38.67,35.3,5.0,2.4,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000181,2023-03-08T14:52:01.200000Z,37.87,36.64,5.0,3.7,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000184,2023-03-08T14:49:03.900000Z,37.53,35.33,18.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000185,2023-03-08T14:47:28.000000Z,38.15,36.64,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000182,2023-03-08T14:45:36.600000Z,36.01,36.04,4.0,3.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000180,2023-03-08T14:44:04.100000Z,38.0818,37.6898,6.1,2.7,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000179,2023-03-08T14:27:05.200000Z,37.51,36.52,5.0,3.1,m,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000178,2023-03-08T14:23:10.900000Z,37.99,36.44,5.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000176,2023-03-08T14:15:59.700000Z,36.14,36.12,5.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000153,2023-03-08T13:46:55.700000Z,38.17,38.24,10.0,3.5,m,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000149,2023-03-08T13:20:23.800000Z,37.88,36.62,2.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000148,2023-03-08T13:17:13.200000Z,38.03,37.13,5.0,2.8,m,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000147,2023-03-08T13:14:16.600000Z,38.01,37.44,9.0,3.3,m,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000142,2023-03-08T12:28:28.200000Z,37.93,36.28,5.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000138,2023-03-08T12:14:58.300000Z,37.4,35.69,11.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000136,2023-03-08T12:11:18.000000Z,38.32,39.07,10.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000134,2023-03-08T12:01:53.200000Z,36.14,36.09,9.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000131,2023-03-08T11:59:51.000000Z,37.43,36.99,13.0,2.8,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000132,2023-03-08T11:56:22.600000Z,37.36,37.8,10.0,2.2,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000129,2023-03-08T11:52:29.200000Z,37.55,35.34,5.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000135,2023-03-08T11:50:49.500000Z,37.45,37.16,5.0,2.0,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000125,2023-03-08T11:28:34.000000Z,38.24,38.14,4.0,2.1,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000122,2023-03-08T11:06:28.700000Z,38.09,36.64,8.0,2.3,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000116,2023-03-08T11:02:38.700000Z,38.0,36.61,5.0,2.6,ml,EMSC_FDSN
quakeml:eu.emsc/event/20230308_0000113,2023-03-08T10:46:49.200000Z,37.91,36.13,5.0,2.5,ml,EMSC_FDSN
