province,tuik_code,lat,lon,population,total_buildings,pre1980,pct_1980_2000,post2000,masonry_pct,rc_pct,steel_pct,avg_floors,archetype
Adana,1,37.0,35.32,2241891,737921,213997,265651,258272,0.14,0.8,0.06,3.8,mediterranean
Adiyaman,2,37.76,38.28,618588,215489,112054,71111,32323,0.44,0.53,0.03,2.6,kahramanmaras
Afyonkarahisar,3,38.76,30.54,727572,248150,94297,86852,67000,0.28,0.68,0.04,3.4,central
Agri,4,39.72,43.05,513181,172747,86373,57006,29366,0.42,0.55,0.03,2.8,east
Aksaray,68,38.37,34.04,417321,134321,51041,47012,36266,0.28,0.68,0.04,3.4,central
Amasya,5,40.65,35.83,330779,106466,42586,38327,25551,0.35,0.62,0.03,2.9,black_sea
Ankara,6,39.92,32.85,5782285,1842252,460563,663210,718478,0.1,0.84,0.06,5.2,ankara
Antalya,7,36.9,30.69,2696249,931659,270181,335397,326080,0.14,0.8,0.06,3.8,mediterranean
Ardahan,75,41.11,42.7,91201,30707,15353,10133,5220,0.42,0.55,0.03,2.8,east
Artvin,8,41.18,41.82,166143,56533,22613,20351,13567,0.35,0.62,0.03,2.9,black_sea
Aydin,9,37.86,27.85,1148627,364520,109356,134872,120291,0.15,0.79,0.06,4.2,aegean
Balikesir,10,39.65,27.89,1231730,429870,128961,159051,141857,0.15,0.79,0.06,4.2,aegean
Bartin,74,41.63,32.34,195720,67408,26963,24266,16177,0.35,0.62,0.03,2.9,black_sea
Batman,72,37.88,41.13,626234,202739,97314,64876,40547,0.38,0.59,0.03,3.1,southeast
Bayburt,69,40.26,40.22,84282,27200,10880,9792,6528,0.35,0.62,0.03,2.9,black_sea
Bilecik,11,40.15,29.98,218671,70582,26821,24703,19057,0.28,0.68,0.04,3.4,central
Bingol,12,38.88,40.5,278934,91157,45578,30081,15496,0.42,0.55,0.03,2.8,east
Bitlis,13,38.4,42.12,339357,113399,56699,37421,19277,0.42,0.55,0.03,2.8,east
Bolu,14,40.74,31.61,328716,108826,43530,39177,26118,0.35,0.62,0.03,2.9,black_sea
Burdur,15,37.72,30.29,266812,87080,33090,30477,23511,0.28,0.68,0.04,3.4,central
Bursa,16,40.18,29.07,3194720,1076817,301508,409190,366117,0.12,0.82,0.06,4.8,marmara
Canakkale,17,40.15,26.41,540582,173697,48635,66004,59056,0.12,0.82,0.06,4.8,marmara
Cankiri,18,40.6,33.62,180523,58923,22390,20623,15909,0.28,0.68,0.04,3.4,central
Corum,19,40.55,34.96,523819,172272,68908,62017,41345,0.35,0.62,0.03,2.9,black_sea
Denizli,20,37.78,29.09,1056150,350503,105150,129686,115665,0.15,0.79,0.06,4.2,aegean
Diyarbakir,21,37.91,40.22,1818184,623344,299205,199470,124668,0.38,0.59,0.03,3.1,southeast
