province,tuik_code,lat,lon,population_2023
Adana,1,37.0,35.32,2241891
Adiyaman,2,37.76,38.28,618588
Afyonkarahisar,3,38.76,30.54,727572
Agri,4,39.72,43.05,513181
Aksaray,68,38.37,34.04,417321
Amasya,5,40.65,35.83,330779
Ankara,6,39.92,32.85,5782285
Antalya,7,36.9,30.69,2696249
Ardahan,75,41.11,42.7,91201
Artvin,8,41.18,41.82,166143
Aydin,9,37.86,27.85,1148627
Balikesir,10,39.65,27.89,1231730
Bartin,74,41.63,32.34,195720
Batman,72,37.88,41.13,626234
Bayburt,69,40.26,40.22,84282
Bilecik,11,40.15,29.98,218671
Bingol,12,38.88,40.5,278934
Bitlis,13,38.4,42.12,339357
Bolu,14,40.74,31.61,328716
Burdur,15,37.72,30.29,266812
Bursa,16,40.18,29.07,3194720
Canakkale,17,40.15,26.41,540582
Cankiri,18,40.6,33.62,180523
Corum,19,40.55,34.96,523819
Denizli,20,37.78,29.09,1056150
Diyarbakir,21,37.91,40.22,1818184
Duzce,81,40.84,31.16,382845
Edirne,22,41.68,26.56,413072
Elazig,23,38.67,39.22,584640
Erzincan,24,39.75,39.49,232028
Erzurum,25,39.9,41.27,750559
Eskisehir,26,39.78,30.52,887475
Gaziantep,27,37.07,37.38,2154051
Giresun,28,40.91,38.39,436266
Gumushane,29,40.46,39.48,179352
Hakkari,30,37.58,43.74,276202
Hatay,31,36.4,36.36,1644614
Igdir,76,39.92,44.04,197456
Isparta,32,37.76,30.55,430001
Istanbul,34,41.01,28.97,15655924
Izmir,35,38.42,27.14,4479525
Kahramanmaras,46,37.58,36.93,1145988
Karabuk,78,41.2,32.62,243048
Karaman,70,37.18,33.22,237114
Kars,36,40.61,43.1,281430
Kastamonu,37,41.38,33.78,375566
Kayseri,38,38.73,35.49,1418674
Kilis,79,36.72,37.12,136572
Kirikkale,71,39.85,33.51,283657
Kirklareli,39,41.74,27.22,363085
Kirsehir,40,39.14,34.16,238831
Kocaeli,41,40.76,29.92,2072753
Konya,42,37.87,32.49,2279810
Kutahya,43,39.42,29.98,567207
Malatya,44,38.35,38.31,792041
Manisa,45,38.62,27.43,1452946
Mardin,47,37.31,40.74,840706
Mersin,33,36.8,34.64,1946609
Mugla,48,37.22,28.36,1077716
Mus,49,38.74,41.5,419129
Nevsehir,50,38.62,34.72,299027
Nigde,51,37.97,34.68,362975
Ordu,52,40.98,37.88,758082
Osmaniye,80,37.21,36.25,554195
Rize,53,41.02,40.52,334098
Sakarya,54,40.69,30.43,1082278
Samsun,55,41.29,36.33,1353716
Sanliurfa,63,37.16,38.79,2208567
Siirt,56,37.93,41.94,332748
Sinop,57,42.02,35.15,202773
Sirnak,73,37.52,42.46,544905
Sivas,58,39.75,37.02,604919
Tekirdag,59,41.0,27.51,1080073
Tokat,60,40.31,36.56,605811
Trabzon,61,41.0,39.73,807903
Tunceli,62,39.11,39.55,81507
Usak,64,38.68,29.41,362093
Van,65,38.49,43.38,1130279
Yalova,77,40.65,29.27,284680
Yozgat,66,39.82,34.81,413844
Zonguldak,67,41.45,31.8,573371
