event_id,origin_time,latitude,longitude,depth_km,magnitude,region
smi:ISC/evid=622109236,2022-01-01T01:13:53.700000Z,38.4372,39.2235,5.0,1.7,eastern_anatolia
smi:ISC/evid=622109237,2022-01-01T01:29:35.800000Z,37.698,26.0273,10.5,1.6,aegean
smi:ISC/evid=622109238,2022-01-01T01:39:13.000000Z,37.938,27.127,7.2,1.5,aegean
smi:ISC/evid=622109240,2022-01-01T02:05:47.000000Z,38.83,26.368,6.9,1.8,aegean
smi:ISC/evid=622109245,2022-01-01T02:37:28.000000Z,37.8782,27.0282,3.8,1.6,aegean
smi:ISC/evid=622109247,2022-01-01T03:04:19.000000Z,40.361,28.362,7.0,2.7,marmara
smi:ISC/evid=622109248,2022-01-01T03:06:34.000000Z,40.348,28.376,7.0,2.2,marmara
smi:ISC/evid=622109256,2022-01-01T04:42:18.000000Z,39.23,41.346,11.0,2.0,eastern_anatolia
smi:ISC/evid=622109258,2022-01-01T05:22:25.600000Z,37.7402,27.0217,9.9,1.7,aegean
smi:ISC/evid=622109261,2022-01-01T08:02:35.900000Z,37.8307,26.9675,13.3,2.8,aegean
smi:ISC/evid=622109262,2022-01-01T08:31:10.700000Z,38.5007,39.3335,3.3,2.8,eastern_anatolia
smi:ISC/evid=622109266,2022-01-01T09:59:25.800000Z,39.4603,26.2013,11.7,2.3,aegean
smi:ISC/evid=622109268,2022-01-01T10:07:23.700000Z,38.9822,27.9745,8.1,1.6,aegean
smi:ISC/evid=622109269,2022-01-01T10:08:59.500000Z,38.8445,33.993,5.4,2.1,central_anatolia
smi:ISC/evid=622109274,2022-01-01T11:18:50.700000Z,37.8355,27.1148,9.4,1.5,aegean
smi:ISC/evid=622109282,2022-01-01T15:15:25.000000Z,39.231,41.442,7.0,2.5,eastern_anatolia
smi:ISC/evid=622109283,2022-01-01T17:57:36.500000Z,40.3855,28.3985,5.4,2.1,marmara
smi:ISC/evid=622109286,2022-01-01T17:58:15.900000Z,40.411,28.4215,2.2,2.2,marmara
smi:ISC/evid=622109289,2022-01-01T19:45:51.000000Z,39.186,40.23,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109300,2022-01-01T23:18:40.000000Z,38.914,43.582,20.1,1.6,eastern_anatolia
smi:ISC/evid=622109302,2022-01-02T00:13:05.900000Z,40.1218,29.3183,5.3,1.5,marmara
smi:ISC/evid=622109303,2022-01-02T00:24:50.300000Z,39.0012,26.5532,9.8,1.7,aegean
smi:ISC/evid=622109306,2022-01-02T04:02:41.000000Z,39.81,41.838,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109312,2022-01-02T09:46:43.000000Z,38.9875,26.582,13.2,1.8,aegean
smi:ISC/evid=622109314,2022-01-02T09:58:59.400000Z,40.6743,29.1485,5.4,2.2,marmara
smi:ISC/evid=622109316,2022-01-02T14:15:32.600000Z,39.972,39.5813,6.3,2.4,eastern_anatolia
smi:ISC/evid=622109319,2022-01-02T16:49:18.000000Z,40.477,34.603,7.0,1.6,central_anatolia
smi:ISC/evid=622109334,2022-01-02T22:58:31.400000Z,37.9143,26.9177,9.3,1.6,aegean
smi:ISC/evid=622109338,2022-01-03T00:11:46.000000Z,38.734,39.992,7.4,2.5,eastern_anatolia
smi:ISC/evid=622109343,2022-01-03T01:49:42.000000Z,38.943,41.986,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109369,2022-01-03T13:25:08.400000Z,37.929,27.1108,6.0,2.0,aegean
smi:ISC/evid=622109382,2022-01-03T17:10:58.200000Z,39.02,26.2943,7.7,1.8,aegean
smi:ISC/evid=622109387,2022-01-03T18:45:11.000000Z,38.242,40.724,7.0,1.5,eastern_anatolia
smi:ISC/evid=622109408,2022-01-04T07:44:56.000000Z,38.718,43.016,7.0,2.2,eastern_anatolia
smi:ISC/evid=622109417,2022-01-04T11:48:56.000000Z,37.7837,27.3335,2.2,1.5,aegean
smi:ISC/evid=622109431,2022-01-04T15:15:14.200000Z,39.3673,40.767,17.1,1.6,eastern_anatolia
smi:ISC/evid=622109435,2022-01-04T16:14:17.600000Z,39.3842,26.22,15.2,3.0,aegean
smi:ISC/evid=622109440,2022-01-04T19:57:58.900000Z,39.4078,26.179,17.5,1.6,aegean
smi:ISC/evid=622109452,2022-01-05T00:14:39.000000Z,38.373,39.113,7.0,1.7,eastern_anatolia
smi:ISC/evid=622109457,2022-01-05T01:57:02.800000Z,38.9657,42.012,3.1,3.2,eastern_anatolia
smi:ISC/evid=622109464,2022-01-05T04:20:33.000000Z,38.522,39.495,7.0,1.5,eastern_anatolia
smi:ISC/evid=622109470,2022-01-05T06:19:13.400000Z,38.5367,39.4238,7.8,2.1,eastern_anatolia
smi:ISC/evid=622109472,2022-01-05T07:16:35.200000Z,38.7987,27.0898,8.1,1.9,aegean
smi:ISC/evid=622109480,2022-01-05T11:52:54.000000Z,39.951,39.839,7.0,1.8,eastern_anatolia
smi:ISC/evid=622109485,2022-01-05T13:50:31.100000Z,37.8275,26.5742,13.4,2.1,aegean
smi:ISC/evid=622109487,2022-01-05T16:15:47.800000Z,39.3885,26.2148,13.5,2.2,aegean
smi:ISC/evid=622109493,2022-01-05T17:42:46.500000Z,37.8523,26.7385,16.4,2.1,aegean
smi:ISC/evid=622109499,2022-01-05T21:33:44.600000Z,37.881,26.7773,5.2,2.0,aegean
